x,y,z
88.026,-136.301,964.278
9.329,-145.394,958.535
100.469,-155.204,945.374
98.315,-155.444,959.013
92.572,-150.897,967.628
94.487,-152.812,960.688
102.861,-158.315,949.681
106.211,-160.738,9.3027
91.615,-149.462,951.596
85.872,-152.572,989.911
102.622,-17.342,982.493
108.844,-17.653,937.687
99.751,-165.763,9.4681
94.965,-16.672,960.688
98.315,-170.548,959.492
9.999,-171.266,967.867
100.947,-168.634,964.995
98.076,-165.524,948.246
94.726,-164.327,954.467
9.664,-169.113,975.315
97.837,-170.788,979.861
97.119,-169.113,989.432
91.137,-159.033,984.886
94.487,-15.664,991.107
95.922,-157.837,1.009.562
92.094,-143.719,1.007.169
9.018,-124.546,977.947
85.155,-113.779,959.731
7.675,-96.999,941.755
78.425,-84.317,9.2668
79.621,-77.109,952.314
82.014,-68.973,964.038
8.683,-6.682,9.6356
84.676,-62.991,979.861
81.057,-54.377,983.929
81.057,-46.211,964.995
78.425,-35.444,963.081
73.878,-28.744,987.279
82.971,-24.646,974.836
83.719,-12.921,959.971
8.345,-4.307,958.535
84.915,338,952.553
85.394,8.405,972.682
81.296,12.712,998.794
77.228,25.155,1.003.101
82.253,32.363,9.935
87.787,29.252,1.001.187
90.419,49.591,988.954
92.572,71.874,960.449
97.597,75.464,967.149
105.494,78.574,9.734
110.548,92.243,948.006
105.254,108.305,948.964
104.058,117.159,982.254
107.647,1.3319,985.843
114.855,137.767,963.081
115.334,150.927,9.3027
120.359,166.032,922.852
125.862,179.671,927.398
122.034,191.187,940.319
105.494,206.501,948.485
115.095,211.286,954.946
1.3017,205.065,941.037
127.537,218.734,946.092
119.641,235.723,954.467
116.291,249.392,947.289
118.205,259.681,943.909
126.341,268.564,932.184
131.366,2.8005,9.3338
133.759,291.536,922.852
125.862,304.965,921.177
117.248,317.886,9.2692
121.795,335.384,8.9698
127.059,344.716,868.954
131.366,348.096,890.997
128.255,359.821,912.772
124.666,368.674,908.465
119.402,377.557,897.219
120.359,383.061,8.9025
1.2658,391.436,868.714
118.923,408.216,873.021
1.1988,412.283,865.604
1.1988,410.848,865.843
110.788,413.958,891.715
114.855,428.584,8.8666
122.273,441.027,863.899
121.077,439.831,862.942
1.1342,442.941,879.243
112.702,451.077,876.611
106.211,458.046,856.002
105.494,459.003,865.843
111.266,4.7001,875.893
112.463,481.017,861.267
1.0334,492.772,856.002
107.408,501.147,835.155
107.408,509.312,8.2343
92.333,515.773,833.241
91.376,529.173,847.867
101.426,539.731,833.241
101.665,545.474,804.018
97.597,552.892,807.129
94.487,566.561,8.2019
94.247,575.653,795.165
95.683,592.433,804.736
1.0669,607.747,798.993
111.745,614.926,772.642
114.138,628.834,736.959
114.616,648.724,753.948
124.905,684.407,669.392
129.691,691.346,592.493
114.377,707.887,633.948
130.409,705.972,663.171
153.649,715.065,677.558
161.785,744.766,671.546
138.814,784.068,572.154
137.617,787.179,481.107
150.778,768.006,519.691
161.306,7.6011,5.8675
152.931,7.9005,594.886
154.128,812.812,582.204
165.882,800.339,5.7024
168.993,7.8335,5.7359
166.122,791.964,572.632
165.643,810.419,519.452
163.968,817.119,4.7345
165.882,807.787,473.928
181.196,804.198,504.347
186.939,818.555,537.159
186.221,827.647,548.914
186.221,828.844,539.312
1.8,819.512,511.526
170.429,815.444,489.482
168.754,813.291,472.493
191.276,821.426,477.757
208.744,831.267,505.065
200.369,830.309,5.0674
1.9654,825.733,518.495
188.136,8.2334,5.1344
181.436,8.2023,501.476
181.436,818.794,497.647
192.951,820.708,485.653
200.848,822.622,508.894
205.155,829.322,540.509
200.369,828.365,540.269
1.9654,8.2693,514.397
192.473,818.315,506.979
185.025,811.137,499.322
201.087,821.665,498.604
2.3677,837.727,511.526
222.652,827.647,510.569
215.204,825.733,497.887
201.805,822.383,498.126
181.675,818.555,493.101
190.289,820.948,497.647
212.812,827.887,503.151
223.609,824.776,509.372
234.138,828.605,520.409
222.174,821.426,5.3668
2.1353,808.266,516.341
212.094,815.205,491.426
226.002,816.162,473.211
238.684,801.775,474.646
259.053,796.511,511.047
245.892,801.297,538.834
255.224,808.505,526.391
299.312,820.469,504.586
283.011,803.001,506.979
264.317,782.154,527.109
277.986,779.283,541.466
282.293,787.179,551.785
274.636,796.989,5.2687
292.822,802.254,478.714
285.165,797.947,478.953
268.385,791.247,494.537
260.489,785.982,484.218
283.011,796.511,483.739
277.508,794.597,534.527
284.447,784.547,558.724
323.719,774.706,548.674
3.4002,762.742,541.944
317.737,765.374,539.073
301.466,778.804,535.484
298.834,794.118,528.305
285.882,793.879,541.227
291.865,784.068,517.538
317.498,781.436,486.132
323.958,777.129,478.475
315.823,777.847,495.494
299.791,773.988,5.3357
300.748,769.681,561.835
315.583,777.368,567.578
311.037,779.761,549.631
3.0673,7.7665,5.2017
311.276,765.614,503.629
318.455,764.417,510.569
3.2324,772.792,505.304
346.002,781.675,489.003
360.389,771.835,505.304
377.857,762.503,523.998
3.8339,752.692,518.973
368.525,754.846,511.047
3.5007,758.914,520.648
352.014,756.282,527.827
375.942,752.214,514.876
384.108,7.5006,5.1344
378.844,752.214,524.955
368.525,752.932,542.423
367.567,750.539,541.705
370.917,757.478,518.495
3.7666,760.349,492.144
383.629,7.5341,477.518
379.083,745.245,491.426
380.758,742.613,514.397
3.8674,747.637,539.312
395.115,744.048,541.466
430.319,740.938,513.918
424.576,726.581,512.722
415.244,709.322,545.564
421.944,7.1028,538.116
434.178,722.483,514.636
430.798,721.286,504.586
433.221,714.826,501.715
444.467,713.629,493.101
447.577,711.237,515.833
459.332,704.537,529.741
463.639,699.033,525.913
459.572,7.2023,516.072
476.321,707.887,506.501
487.597,702.622,512.483
482.064,698.315,508.894
477.518,700.947,497.887
468.664,700.947,508.176
4.701,701.187,519.213
4.8015,698.555,509.133
483.021,695.923,496.451
474.886,695.923,499.322
466.989,693.978,503.629
483.739,695.653,502.672
489.512,686.321,533.809
492.144,684.646,552.024
502.194,678.904,508.654
523.759,664.517,457.149
557.767,665.235,444.467
552.024,662.603,481.585
549.153,6.5997,540.987
553.699,668.106,545.085
556.092,657.338,498.604
541.256,6.5327,468.186
514.666,675.075,459.542
505.304,670.529,459.302
525.434,658.056,4.5667
589.861,654.228,468.903
5.9994,641.276,5.0339
574.786,633.619,508.654
590.579,622.612,499.083
602.094,602.483,501.715
604.248,598.654,494.058
608.794,609.661,481.825
626.052,606.311,481.346
627.966,601.286,512.004
607.837,603.201,5.3022
597.308,597.697,511.286
604.965,588.575,494.058
622.463,588.575,500.519
635.145,5.8355,495.972
644.477,574.935,489.751
644.955,568.475,492.383
649.053,565.125,4.9023
659.821,560.549,477.518
661.735,5.4667,459.302
649.771,541.885,466.271
6.4666,568.475,488.525
649.771,583.789,488.285
662.453,558.874,479.193
670.349,538.535,487.328
661.257,538.295,499.083
655.992,551.934,5.0339
662.214,552.892,496.929
666.042,536.381,495.015
672.772,535.424,504.826
668.435,529.891,497.647
671.306,512.902,479.671
680.429,510.509,478.714
684.018,518.884,492.383
693.111,508.086,503.629
693.111,495.404,511.765
697.897,464.746,530.698
687.607,455.893,542.423
680.429,467.139,539.552
684.975,467.617,532.852
685.215,4.6666,535.723
7.2008,471.924,530.937
713.001,452.513,512.483
717.548,446.052,494.537
719.223,458.764,4.9023
7.2329,452.752,4.9023
723.051,435.763,488.764
724.726,428.824,491.187
726.192,4.2664,504.347
725.952,443.659,521.605
731.217,444.616,524.716
737.199,420.419,512.483
728.824,408.216,504.108
732.413,408.455,496.451
746.052,407.019,505.065
755.414,398.136,515.833
754.696,390.957,514.876
746.052,400.529,494.058
748.206,404.866,466.032
755.414,408.933,459.063
768.096,407.498,474.886
771.925,392.393,491.187
764.746,377.318,495.015
753.021,378.036,484.935
759.482,385.215,479.193
775.275,391.675,480.628
7.8344,3.8019,482.303
7.8009,374.925,473.689
771.685,373.221,478.953
769.771,374.178,477.518
779.612,373.221,473.689
789.901,3.6341,4.8015
792.294,365.324,477.039
791.336,366.521,464.836
791.815,363.649,454.517
788.226,360.539,444.706
795.165,358.624,438.006
804.258,348.335,445.424
810.748,3.3993,458.345
799.233,341.366,469.143
795.404,3.5336,469.861
798.276,360.539,461.217
805.933,342.323,4.5021
807.159,321.984,447.577
809.073,326.291,451.645
811.227,329.163,454.756
816.252,318.126,456.431
818.884,319.561,453.799
811.945,3.2004,450.927
811.227,313.101,457.149
815.055,306.879,468.664
822.473,306.401,464.118
827.019,3.0353,453.081
825.823,302.572,445.424
824.148,294.676,4.4686
824.627,292.732,445.424
824.866,289.382,435.344
833.031,2.8675,425.055
838.295,289.621,421.227
834.946,282.921,426.251
835.663,281.007,428.405
839.731,281.486,433.191
839.492,281.725,437.767
838.535,279.811,441.835
837.099,278.375,442.553
833.271,279.571,434.626
838.774,279.811,424.816
841.406,277.418,420.748
838.535,280.768,426.969
8.3997,286.989,431.516
842.603,282.443,429.601
842.842,278.375,430.319
840.928,279.811,432.951
838.535,280.289,429.362
839.731,282.921,423.859
843.799,282.921,418.594
843.081,282.921,425.534
838.295,2.8675,433.669
836.621,285.314,433.669
836.142,283.639,429.123
837.817,290.578,425.055
833.031,292.732,427.209
839.013,293.211,430.559
840.688,292.971,422.901
839.492,292.253,412.852
836.381,303.051,408.275
828.455,315.972,410.937
821.277,314.297,417.637
817.927,312.862,436.571
820.798,324.616,433.908
827.019,340.648,429.841
829.891,354.796,4.2338
802.343,357.667,432.473
764.507,357.189,461.934
766.182,391.675,460.977
774.557,418.983,456.192
779.612,448.684,437.528
781.047,482.722,399.183
757.089,507.847,365.414
724.965,5.4332,337.867
720.898,591.476,296.411
736.242,6.2022,260.967
7.4677,605.115,2.3988
7.2353,592.672,273.888
693.111,604.876,324.915
672.024,608.943,385.304
631.795,600.808,463.161
617.408,601.765,506.501
634.666,605.833,509.851
649.771,606.311,501.954
643.041,634.577,491.187
623.659,645.135,473.928
620.309,629.073,451.167
604.248,626.441,424.576
590.339,644.417,4.066
582.922,683.211,414.766
571.436,7.0358,426.012
562.074,712.194,4.3343
555.613,7.0358,438.245
561.117,690.389,442.074
550.349,689.432,444.706
539.581,693.261,4.5021
544.128,698.555,4.6675
538.864,7.0669,478.475
510.329,716.262,464.357
485.683,729.213,437.767
482.782,747.877,419.073
476.561,762.742,401.815
469.621,752.214,381.685
477.996,751.735,386.022
487.119,757.478,4.1333
472.014,768.724,432.473
454.277,7.8694,432.233
459.332,775.903,426.491
480.389,763.221,431.755
469.143,760.349,439.203
436.092,756.521,425.773
427.448,769.203,4.0325
441.117,7.9675,398.704
431.037,818.315,431.276
407.587,804.198,443.749
409.741,797.947,424.098
409.502,808.744,396.551
405.434,813.769,381.685
395.115,807.548,392.722
386.501,808.744,404.447
3.7666,822.383,414.527
374.507,822.383,402.772
374.267,820.469,384.108
363.021,848.016,399.183
3.5007,852.563,430.319
349.113,837.967,4.2338
351.296,831.506,400.858
341.456,835.813,391.765
3.2997,847.538,398.943
324.945,8.4682,407.797
324.945,842.991,401.097
321.087,848.734,389.372
309.362,8.6336,401.336
293.779,871.257,441.117
2.8325,859.771,454.517
270.539,852.323,423.141
253.071,8.6001,366.132
247.328,877.717,344.088
235.334,889.233,371.635
202.762,889.951,398.704
180.479,876.282,378.096
184.546,876.999,339.302
183.589,8.9019,336.192
171.147,902.633,357.278
160.828,895.215,357.518
159.392,891.386,336.431
164.207,897.847,327.069
167.079,915.584,363.978
157.956,912.473,4.0349
145.274,901.675,393.201
141.685,900.718,365.653
140.489,905.743,351.984
128.016,9.067,353.659
111.745,913.909,372.353
9.999,916.062,386.261
9.664,9.0335,362.303
98.794,907.179,332.842
96.879,918.694,324.198
88.983,923.001,3.4672
75.314,912.234,362.064
67.178,909.572,355.843
74.357,9.1008,342.413
81.296,912.952,341.217
68.375,920.848,354.856
46.331,923.719,364.218
43.938,918.694,354.616
54.945,919.412,339.781
50.877,925.155,339.302
39.392,918.934,349.831
37.238,917.259,348.156
3.341,922.284,342.413
24.766,920.609,3.3332
23.091,918.216,3.2659
27.876,925.155,339.063
23.809,933.051,368.525
18.544,921.326,371.396
28.355,914.148,352.463
32.692,919.652,339.063
24.287,923.001,335.474
23.091,922.762,342.652
22.612,926.112,350.549
18.784,925.873,354.856
8.016,920.609,3.5342
12.802,917.737,342.652
29.791,920.848,337.149
14.955,931.376,3.5342
-7.807,930.658,358.235
-11.635,926.351,347.916
-5.414,925.394,347.438
-389,917.259,3.5007
-1.107,919.173,361.107
-996,9.2013,362.064
-17.378,911.755,354.138
-23.629,914.148,353.181
-21.685,9.1343,354.616
-25.065,9.1678,362.543
-29.611,920.609,374.267
-28.654,921.326,377.857
-332,917.019,359.193
-28.654,915.344,340.738
-32.961,917.498,339.781
-33.679,923.719,351.745
-28.415,922.044,357.039
-27.697,922.762,359.671
-27.458,924.916,353.898
-37.507,9.2348,345.763
-40.379,917.976,348.874
-44.447,917.259,351.266
-50.698,918.694,347.438
-53.569,919.412,347.916
-48.993,917.019,356.082
-48.275,917.019,360.868
-55.484,918.694,359.671
-66.491,921.326,352.702
-65.533,919.173,347.199
-58.594,919.412,3.5007
-59.312,918.455,352.223
-61.705,917.976,345.284
-70.319,921.805,343.131
-77.767,921.087,3.5007
-79.442,917.737,351.027
-72.951,914.387,345.284
-69.362,918.694,352.941
-7.654,922.284,356.321
-87.099,921.805,357.278
-8.997,9.1678,353.659
-95.234,914.627,347.677
-8.997,9.1678,346.002
-92.363,915.584,343.849
-102.652,9.1678,341.934
-107.468,915.584,342.891
-102.174,9.1343,340.738
-105.314,915.105,345.763
-109.382,919.652,356.082
-109.382,919.173,3.6326
-112.971,912.952,3.5007
-12.661,911.755,335.713
-12.661,911.994,337.867
-125.892,914.387,351.506
-135.254,906.222,3.4337
-14.339,907.418,338.584
-139.322,915.344,355.095
-13.669,907.418,364.457
-140.519,905.982,351.027
-149.372,9.1008,351.266
-15.009,912.234,355.573
-145.783,909.572,344.327
-154.875,907.179,344.566
-16.352,9.0335,3.4337
-160.887,903.829,336.192
-157.537,905.504,345.284
-160.409,908.375,350.788
-169.023,908.615,344.806
-178.355,901.436,336.909
-180.748,902.393,340.977
-172.852,9.0359,357.757
-177.159,904.786,361.107
-188.674,9.0335,348.874
-195.613,900.479,339.542
-190.349,902.154,351.984
-199.202,900.479,361.585
-211.436,898.804,357.996
-212.871,895.933,342.413
-207.338,891.865,334.517
-208.774,894.736,345.284
-209.492,896.651,353.659
-214.786,897.368,348.874
-217.418,896.411,3.4672
-218.375,898.804,348.634
-219.811,901.436,355.573
-229.143,895.933,348.395
-232.971,889.472,331.645
-232.253,886.122,327.787
-236.082,888.276,332.842
-240.658,890.908,341.217
-246.879,888.754,348.874
-252.144,888.036,349.352
-252.144,882.264,337.867
-259.083,880.828,330.927
-264.616,884.926,339.781
-261.715,883.729,348.156
-267.966,879.871,343.609
-261.476,880.828,341.456
-253.819,887.318,353.181
-258.604,886.361,351.506
-264.377,882.742,348.874
-261.954,8.8349,357.039
-264.108,879.392,358.714
-274.427,8.7365,347.199
-277.538,871.257,3.4002
-281.366,869.582,343.609
-284.955,868.624,342.652
-284.237,875.085,348.156
-281.845,880.349,361.825
-285.912,876.282,3.6326
-284.477,874.607,3.6015
-279.691,8.7365,353.181
-278.495,876.282,346.481
-278.255,874.128,354.377
-284.716,872.932,358.714
-28.663,871.017,351.027
-281.845,8.7006,344.327
-277.538,872.932,342.891
-28.687,875.324,351.027
-291.207,877.957,362.782
-287.109,875.085,362.303
-287.587,871.735,351.745
-304.128,870.539,343.849
-30.341,866.471,341.217
-299.581,8.636,342.174
-301.974,868.146,348.634
-302.214,869.582,353.898
-307.238,8.6671,354.377
-315.853,865.035,346.241
-314.417,863.121,349.831
-306.521,861.446,354.616
-31.011,865.035,355.573
-317.528,863.121,3.5007
-321.386,861.446,347.199
-315.613,859.771,345.045
-305.085,862.164,353.898
-314.656,864.796,364.457
-321.147,864.317,358.475
-321.147,857.378,346.241
-326.172,856.421,340.738
-328.804,859.532,345.763
-325.932,8.6001,349.591
-335.982,858.335,3.4337
-343.879,853.759,337.627
-338.136,849.213,339.542
-336.461,853.281,344.088
-338.614,8.5666,345.284
-346.541,853.041,347.438
-349.412,850.888,346.959
-345.344,846.581,343.849
-338.854,8.5352,352.223
-345.823,854.716,355.095
-348.455,849.691,342.891
-353.001,852.323,347.199
-353.719,854.956,358.953
-35.348,848.495,357.757
-361.137,840.359,344.327
-370.229,842.034,336.431
-370.469,8.4012,328.505
-36.688,839.402,327.787
-370.947,841.077,339.302
-378.634,839.881,343.609
-385.334,838.684,3.4337
-385.813,835.574,344.088
-383.898,833.659,337.388
-385.573,835.095,339.302
-389.163,835.574,340.499
-399.721,832.224,342.413
-40.355,828.365,341.217
-407.378,825.733,342.413
-410.489,815.444,3.3332
-413.839,815.205,3.2013
-416.949,8.2669,3.3667
-415.274,832.463,349.113
-413.599,830.549,349.831
-412.403,8.2669,3.4337
-412.403,823.101,336.192
-408.814,811.616,322.044
-417.189,807.548,318.455
-43.014,819.751,331.885
-444.975,817.837,333.799
-453.859,809.462,335.952
-442.822,806.591,328.265
-434.447,805.633,309.601
-439.232,814.008,309.601
-447.368,818.794,334.517
-462.233,809.941,336.909
-468.455,799.621,337.388
-470.608,791.247,329.731
-476.351,786.461,321.087
-485.474,784.307,317.498
-483.081,785.982,323.958
-482.363,783.111,325.873
-485.234,787.657,327.787
-482.842,794.118,339.302
-48.356,7.9675,337.627
-482.124,7.9675,335.474
-485.234,7.9005,333.559
-486.431,778.325,324.198
-490.499,773.271,323.719
-493.131,768.246,319.651
-502.702,761.067,304.098
-518.764,763.939,305.773
-51.996,762.981,326.351
-514.218,767.528,344.566
-508.475,769.681,349.113
-5.135,773.031,344.088
-515.414,7.7351,341.456
-511.107,769.203,3.4337
-51.015,763.939,341.217
-51.015,7.6346,336.909
-508.475,760.349,337.867
-512.543,759.871,330.927
-515.893,764.656,331.406
-51.996,765.135,341.695
-519.003,761.306,338.584
-516.132,754.846,328.026
-515.414,7.5676,331.167
-521.875,762.503,340.977
-526.421,762.024,345.045
-529.053,751.974,329.492
-527.617,7.5006,3.2324
-527.857,750.299,332.602
-537.219,748.595,328.505
-544.158,751.017,328.265
-545.593,746.441,332.363
-542.004,747.159,335.474
-542.961,745.962,335.234
-542.722,742.134,329.013
-541.047,741.655,321.326
-542.961,742.134,323.719
-545.115,741.655,332.363
-549.661,7.4357,332.363
-554.925,742.852,332.363
-553.729,741.895,333.081
-549.901,740.698,327.548
-549.422,733.281,326.112
-555.883,728.016,318.694
-557.318,731.366,321.087
-562.134,739.741,341.217
-561.177,7.4333,339.781
-561.416,7.4022,326.112
-559.262,732.563,327.308
-571.227,727.538,321.565
-566.441,730.409,332.363
-559.262,724.906,338.584
-555.165,722.752,329.013
-572.662,728.016,342.652
-577.209,719.851,345.045
-572.662,716.979,331.167
-572.423,715.783,329.252
-582.712,707.887,322.523
-589.921,703.819,322.762
-594.228,700.469,321.565
-603.081,700.708,324.437
-602.363,701.905,325.155
-601.406,6.9999,325.873
-612.204,703.101,332.602
-612.922,705.015,332.363
-605.952,693.261,323.719
-604.277,685.364,319.651
-604.995,687.039,321.326
-608.106,691.586,3.2324
-613.639,692.782,330.449
-614.118,692.064,334.038
-609.781,688.953,322.044
-609.302,689.432,320.369
-612.922,691.586,3.3332
-619.621,6.935,338.345
-618.425,688.236,324.437
-613.161,681.296,317.258
-607.867,685.364,325.873
-602.842,697.598,332.602
-60.667,695.414,332.363
-605.474,693.739,317.258
-597.099,692.303,327.548
-587.528,7.0358,355.095
-582.234,709.801,352.223
-58.008,718.176,330.449
-576.012,731.366,347.199
-57.003,735.913,365.175
-553.251,733.998,351.027
-525.464,7.3998,337.627
-517.328,738.545,324.437
-526.182,743.091,318.933
-522.832,7.5006,341.695
-483.081,775.185,345.763
-464.866,781.915,336.909
-468.694,786.222,312.951
-455.534,803.001,307.448
-436.122,816.162,347.438
-405.703,828.365,367.089
-381.745,837.249,342.891
-36.329,841.556,330.688
-365.205,850.888,334.756
-364.008,8.569,358.235
-342.921,858.814,364.457
-329.043,852.084,339.542
-322.104,859.053,312.233
-310.349,871.735,311.994
-293.599,881.067,311.276
-283.998,884.686,310.558
-275.384,882.503,319.412
-260.997,888.276,325.633
-250.229,896.411,3.2013
-247.837,899.761,323.958
-243.051,901.197,323.958
-226.989,906.222,328.265
-211.436,911.994,330.927
-198.485,912.473,321.326
-199.442,905.025,315.344
-213.829,898.086,302.423
-205.663,9.2024,298.086
-178.594,9.2013,316.541
-174.766,930.658,330.927
-188.674,9.1678,323.001
-178.116,913.909,300.239
-129.003,927.069,277.747
-97.627,938.106,273.171
-112.014,935.923,274.367
-120.389,931.616,274.606
-116.082,925.634,269.342
-114.885,927.069,277.986
-114.885,9.3353,279.661
-10.002,940.738,264.317
-74.865,932.812,253.071
-55.244,929.701,295.932
-54.526,914.627,350.309
-42.054,907.657,364.218
-16.181,924.198,363.739
-326,930.658,395.115
568,911.037,415.484
19.502,9.0335,387.458
41.067,938.824,367.328
51.117,945.285,3.6015
5.327,937.867,355.843
59.761,9.2348,346.002
72.443,9.2013,329.013
79.621,928.266,321.565
68.375,922.044,334.038
65.264,913.191,324.198
8.345,926.351,312.473
89.701,939.303,324.437
76.511,932.094,325.633
82.253,919.652,320.608
115.334,912.712,311.994
129.691,923.959,327.787
119.641,924.676,347.916
136.391,919.652,345.763
151.017,915.344,342.891
140.967,918.694,344.088
130.648,922.044,3.5007
134.477,931.855,345.763
162.981,924.437,315.344
181.196,920.609,298.564
184.068,921.087,295.454
189.093,915.823,300.479
203.001,910.559,298.086
207.308,910.559,289.232
215.683,907.179,285.882
231.745,918.934,298.325
2.3007,925.634,322.523
229.591,918.934,330.449
245.414,912.473,322.283
262.164,904.068,314.387
264.317,901.197,315.105
265.992,908.136,314.387
274.875,906.222,3.1008
283.968,898.325,310.798
295.932,890.668,311.276
295.454,896.651,309.841
291.625,9.2024,302.901
304.816,894.018,298.325
314.866,891.386,296.889
307.448,894.975,306.251
309.123,887.558,311.994
321.326,882.742,311.276
327.099,878.914,302.662
326.381,885.165,291.865
329.252,888.993,297.607
325.424,8.8349,311.276
337.388,883.729,302.901
354.886,871.735,283.729
361.825,861.925,288.754
360.389,862.164,302.662
367.807,8.6671,293.779
391.526,872.692,278.704
410.698,868.146,278.704
407.109,850.648,282.293
404.208,847.538,274.846
412.373,851.366,272.213
435.135,852.323,264.317
444.228,848.495,251.635
451.167,848.973,252.592
459.811,847.059,268.864
4.6675,836.531,261.924
468.664,830.549,259.771
478.714,823.101,275.593
508.415,814.965,271.256
496.212,814.965,256.182
481.107,824.537,254.985
482.543,833.659,268.385
486.162,826.212,269.581
481.346,824.298,255.703
482.064,832.942,242.752
483.739,834.377,228.634
4.8664,825.972,226.481
491.904,8.2693,233.181
484.218,831.506,232.941
490.469,825.733,229.831
498.365,823.819,232.463
498.604,818.315,226.481
506.979,820.948,218.554
522.802,817.119,208.265
518.495,8.1353,208.505
514.666,818.315,202.762
517.777,821.426,202.523
523.759,818.315,209.462
523.759,825.015,2.1999
514.906,817.119,2.1353
516.341,806.112,211.615
523.759,807.308,210.419
536.202,810.898,201.565
535.005,804.916,2.0324
5.4341,802.732,203.719
543.171,808.266,205.155
544.128,804.676,204.915
551.785,803.001,203.719
551.546,801.057,201.565
558.006,791.007,201.326
568.086,788.136,206.351
562.074,786.222,194.596
564.228,788.375,185.743
568.325,790.768,194.836
572.393,784.068,209.701
572.154,7.8335,205.633
569.043,779.522,197.258
576.461,778.325,198.455
584.836,782.154,205.394
582.922,779.283,196.301
590.818,7.7689,1.867
591.296,771.596,1.9005
592.014,767.528,194.596
589.861,770.399,197.737
5.834,774.706,191.964
589.861,774.706,193.639
587.707,772.553,198.455
586.989,767.528,197.019
601.137,760.349,1.9678
610.947,7.5676,1.9678
612.862,757.239,199.651
610.947,758.914,195.583
627.009,750.539,191.486
632.991,7.4692,193.639
624.377,755.564,194.836
617.408,763.699,191.246
635.384,766.092,192.203
645.195,768.724,207.308
6.2342,7.6011,202.762
621.267,757.717,191.725
618.874,763.221,192.443
610.708,765.135,179.282
622.224,778.086,162.263
621.984,8.0683,190.289
594.676,816.162,234.856
581.247,8.1353,255.703
563.988,803.241,244.905
556.571,810.658,239.402
5.5011,819.033,2.4347
511.286,829.322,231.027
490.469,839.402,209.462
487.597,829.083,224.088
473.689,828.844,226.481
434.656,854.477,219.272
390.329,862.403,192.203
3.9009,891.625,161.545
379.322,898.804,149.581
333.799,892.104,129.691
289.472,902.633,96.401
250.678,925.394,57.817
241.316,932.333,27.637
2.7679,940.738,8.734
260.489,967.328,9.691
214.965,941.695,18.784
229.831,919.412,17.587
247.567,948.395,1.328
1.9989,9.7666,4.397
141.685,960.599,3.918
141.924,9.5342,-1.585
161.785,955.813,-21.476
175.454,9.6012,-2.985
166.361,960.599,-37.268
145.035,961.316,-62.423
118.445,962.034,-95.474
116.291,9.4026,-137.647
134.716,933.051,-202.313
172.582,940.499,-260.309
170.429,959.642,-292.403
118.923,959.402,-282.323
128.255,953.181,-269.163
145.753,947.438,-254.776
1.2323,934.008,-237.069
1.2347,909.572,-264.856
101.426,904.786,-371.934
64.307,925.873,-456.012
62.871,920.848,-429.183
43.938,919.652,-373.131
51.835,923.719,-35.683
8.683,9.067,-383.659
112.463,906.461,-399.721
1.3328,908.375,-387.966
128.255,895.215,-396.132
95.204,884.208,-41.001
90.658,886.601,-402.114
99.272,8.9689,-416.471
8.994,901.436,-436.361
88.983,878.435,-459.601
104.058,859.293,-461.276
122.273,846.581,-467.498
105.494,844.427,-496.959
86.351,845.623,-506.082
115.573,844.188,-494.088
114.616,836.052,-518.525
104.297,818.794,-541.047
114.855,808.505,-524.746
111.266,819.033,-534.347
105.015,822.862,-559.023
104.058,815.205,-574.098
101.426,788.136,-589.203
78.664,775.663,-608.136
85.872,792.443,-591.117
99.751,788.854,-576.252
93.529,777.368,-603.799
77.946,767.049,-656.262
78.903,749.821,-646.451
104.776,737.588,-613.161
108.604,752.453,-604.277
62.393,7.6011,-658.415
47.767,746.441,-691.017
67.657,726.341,-65.674
56.142,709.322,-634.726
52.552,707.408,-637.598
48.963,726.102,-67.998
62.871,720.808,-695.564
62.393,705.494,-689.821
54.945,692.064,-689.342
35.324,679.621,-719.522
22.134,675.793,-724.068
42.981,695.175,-668.016
37.956,721.286,-672.802
30.299,722.483,-70.681
52.313,686.561,-709.442
5.662,660.688,-714.228
49.442,655.424,-731.725
36.042,6.5997,-728.854
2.668,670.289,-736.989
24.048,6.6691,-750.658
48.006,642.234,-7.401
62.871,625.484,-75.329
38.435,640.319,-745.155
32.453,662.603,-723.111
33.888,650.878,-7.334
35.324,644.896,-751.855
17.348,638.405,-766.212
16.869,6.2357,-757.358
52.074,612.772,-757.598
51.595,625.962,-748.983
2.333,630.509,-761.426
27.876,609.183,-794.238
36.999,605.833,-766.451
35.563,610.618,-768.395
14.237,596.979,-789.931
26.201,586.421,-777.966
41.306,599.851,-741.805
40.588,6.1998,-740.818
15.912,602.483,-771.984
-3.978,601.047,-805.275
11.844,586.182,-831.626
62.632,577.807,-798.096
79.143,569.193,-812.453
51.595,579.243,-823.251
16.391,600.569,-773.899
18.066,597.936,-791.366
66.939,589.322,-778.206
69.093,600.808,-763.101
44.177,610.379,-782.513
19.741,605.593,-794.716
2.333,592.912,-793.041
67.896,612.772,-7.401
64.786,633.859,-761.905
37.238,660.928,-758.794
15.434,661.167,-768.126
47.049,620.459,-822.054
76.271,598.654,-773.181
61.196,621.655,-737.468
1.663,691.346,-704.417
2.722,742.613,-660.808
74.357,766.092,-623.211
113.898,747.398,-627.996
102.622,735.673,-654.587
34.367,776.172,-608.854
-5.892,795.314,-585.374
28.116,806.112,-608.854
74.357,780.958,-589.921
82.493,749.073,-592.792
