x,y,z
71.964,495.404,736.959
52.074,5.0689,735.524
45.852,487.029,781.735
30.778,468.096,851.456
3.003,455.175,907.747
53.988,440.549,940.559
71.007,436.959,945.135
82.732,458.525,923.809
91.137,490.379,883.789
98.076,515.055,835.155
105.494,520.559,797.797
110.788,511.227,782.932
109.083,494.925,793.011
94.487,481.765,820.559
66.461,475.992,851.217
31.974,464.746,868.236
19.262,449.402,881.157
29.791,432.892,895.544
42.742,429.542,9.2009
47.527,451.795,899.851
57.368,473.839,894.108
68.136,479.342,876.132
84.437,476.232,859.352
91.615,471.924,849.542
78.425,479.103,835.633
70.289,484.158,825.584
71.725,484.158,830.369
75.314,483.201,845.953
8.321,486.311,862.702
97.358,4.9014,869.671
104.297,491.815,866.561
95.922,493.968,853.131
7.986,493.968,835.155
69.811,483.201,816.012
58.564,471.207,808.565
59.761,4.6355,815.055
73.639,469.292,846.431
91.854,4.7336,878.286
91.137,481.496,895.065
82.253,488.943,894.347
74.118,493.968,880.918
69.093,489.422,855.045
65.264,478.864,831.326
70.289,469.771,822.712
7.986,473.121,835.633
94.247,484.397,851.695
100.469,494.686,861.745
107.647,495.404,862.942
116.291,498.275,851.217
108.126,501.865,831.326
97.597,498.515,818.884
96.879,488.704,821.277
88.744,486.072,837.069
75.075,484.876,850.499
667,481.017,860.549
73.161,472.642,868.714
85.633,477.428,881.396
98.315,484.158,891.476
108.126,491.097,8.869
105.494,500.908,867.757
91.376,512.423,840.449
81.296,509.312,807.608
80.578,492.533,779.582
71.007,475.992,772.164
6.335,474.796,800.429
75.553,484.636,8.5026
8.994,494.208,889.532
100.947,5.0354,902.722
115.813,514.098,884.985
112.223,517.209,839.253
9.018,510.509,788.226
71.486,494.925,769.771
75.793,476.949,800.668
89.701,467.139,852.174
90.897,480.778,892.912
99.512,498.993,913.251
119.163,510.509,914.208
125.145,512.902,884.507
104.058,513.619,825.344
84.676,505.693,7.736
77.707,492.054,7.602
801,480.539,782.932
78.185,483.918,818.644
81.296,497.079,8.5337
93.051,505.454,876.132
103.819,501.625,8.7685
107.647,493.011,858.156
98.554,4.966,826.062
8.683,516.012,804.975
85.872,516.012,8.033
8.683,493.968,817.687
89.462,473.839,8.5026
1.0334,465.225,888.814
118.205,4.7336,909.422
113.898,492.293,896.501
